PID,item,similarity,apriori_faktor,aposteriori_faktor,spezifität
2004,BB1_SH1,0.8275228137678772,BB,SH,Global
2007,BB1_SH1,0.833178049539937,BB,SH,Global
2011,BB1_SH1,0.8023826838531284,BB,SH,Global
2017,BB1_SH1,0.8309967139423065,BB,SH,Global
2020,BB1_SH1,0.7827489794277345,BB,SH,Global
2023,BB1_SH1,0.8079340059925878,BB,SH,Global
2025,BB1_SH1,0.8142218300061573,BB,SH,Global
2034,BB1_SH1,0.7829787280990719,BB,SH,Global
2035,BB1_SH1,0.8028108583699546,BB,SH,Global
2036,BB1_SH1,0.8211390944289934,BB,SH,Global
2037,BB1_SH1,0.7702417958031951,BB,SH,Global
2043,BB1_SH1,0.8143893518509708,BB,SH,Global
2044,BB1_SH1,0.8098461071469955,BB,SH,Global
2045,BB1_SH1,0.8000205919094254,BB,SH,Global
2047,BB1_SH1,0.7875386596091206,BB,SH,Global
2051,BB1_SH1,0.8145599368189582,BB,SH,Global
2052,BB1_SH1,0.8124995681246795,BB,SH,Global
2053,BB1_SH1,0.785575592810589,BB,SH,Global
2057,BB1_SH1,0.8017419142113308,BB,SH,Global
2058,BB1_SH1,0.7876088759362807,BB,SH,Global
2059,BB1_SH1,0.7862446440916226,BB,SH,Global
702,BB1_SH1,0.796561105937682,BB,SH,Fachdidaktik
703,BB1_SH1,0.812001428204555,BB,SH,Fachdidaktik
706,BB1_SH1,0.8084371083169659,BB,SH,Fachdidaktik
713,BB1_SH1,0.8111715864646958,BB,SH,Fachdidaktik
717,BB1_SH1,0.7854581091451541,BB,SH,Fachdidaktik
718,BB1_SH1,0.7741570736324361,BB,SH,Fachdidaktik
719,BB1_SH1,0.8143227780279775,BB,SH,Fachdidaktik
720,BB1_SH1,0.7984185699468224,BB,SH,Fachdidaktik
721,BB1_SH1,0.8424650697531499,BB,SH,Fachdidaktik
723,BB1_SH1,0.7914186141679624,BB,SH,Fachdidaktik
725,BB1_SH1,0.7843765506996895,BB,SH,Fachdidaktik
726,BB1_SH1,0.7844726337526666,BB,SH,Fachdidaktik
728,BB1_SH1,0.7986784138696125,BB,SH,Fachdidaktik
729,BB1_SH1,0.7813690388230912,BB,SH,Fachdidaktik
732,BB1_SH1,0.7991650163853451,BB,SH,Fachdidaktik
737,BB1_SH1,0.8042454552837004,BB,SH,Fachdidaktik
739,BB1_SH1,0.8245466122694312,BB,SH,Fachdidaktik
741,BB1_SH1,0.8187362592616054,BB,SH,Fachdidaktik
747,BB1_SH1,0.8739427011635822,BB,SH,Fachdidaktik
748,BB1_SH1,0.8061111186664102,BB,SH,Fachdidaktik
750,BB1_SH1,0.7546819636525157,BB,SH,Fachdidaktik
751,BB1_SH1,0.7805052354078157,BB,SH,Fachdidaktik
753,BB1_SH1,0.7730845894363855,BB,SH,Fachdidaktik
754,BB1_SH1,0.8054096523523229,BB,SH,Fachdidaktik
759,BB1_SH1,0.811262651780255,BB,SH,Fachdidaktik
760,BB1_SH1,0.7815404700970058,BB,SH,Fachdidaktik
762,BB1_SH1,0.7672681121587669,BB,SH,Fachdidaktik
764,BB1_SH1,0.7758508683369378,BB,SH,Fachdidaktik
765,BB1_SH1,0.8207520996241936,BB,SH,Fachdidaktik
771,BB1_SH1,0.8019590290307339,BB,SH,Fachdidaktik
775,BB1_SH1,0.8145512825059555,BB,SH,Fachdidaktik
781,BB1_SH1,0.7689183915882071,BB,SH,Fachdidaktik
782,BB1_SH1,0.7975943859973845,BB,SH,Fachdidaktik
784,BB1_SH1,0.8262782251379447,BB,SH,Fachdidaktik
785,BB1_SH1,0.8189285239371863,BB,SH,Fachdidaktik
787,BB1_SH1,0.76905540657648,BB,SH,Fachdidaktik
788,BB1_SH1,0.7641068760748935,BB,SH,Fachdidaktik
790,BB1_SH1,0.8057537145248297,BB,SH,Fachdidaktik
792,BB1_SH1,0.7798341778125816,BB,SH,Fachdidaktik
793,BB1_SH1,0.8272288956632093,BB,SH,Fachdidaktik
796,BB1_SH1,0.7901906079859918,BB,SH,Fachdidaktik
799,BB1_SH1,0.7800729089387676,BB,SH,Fachdidaktik
802,BB1_SH1,0.7748630826298418,BB,SH,Fachdidaktik
803,BB1_SH1,0.8278910423966885,BB,SH,Fachdidaktik
813,BB1_SH1,0.7925004988657608,BB,SH,Fachdidaktik
817,BB1_SH1,0.8152136423195494,BB,SH,Fachdidaktik
818,BB1_SH1,0.80930701314771,BB,SH,Fachdidaktik
820,BB1_SH1,0.7961970131176799,BB,SH,Fachdidaktik
821,BB1_SH1,0.8166247455472163,BB,SH,Fachdidaktik
824,BB1_SH1,0.8198133606623675,BB,SH,Fachdidaktik
825,BB1_SH1,0.8071659431511935,BB,SH,Fachdidaktik
827,BB1_SH1,0.7944561675572238,BB,SH,Fachdidaktik
830,BB1_SH1,0.7955149999173813,BB,SH,Fachdidaktik
831,BB1_SH1,0.8675039350294214,BB,SH,Fachdidaktik
833,BB1_SH1,0.805765602480509,BB,SH,Fachdidaktik
834,BB1_SH1,0.8339130767932786,BB,SH,Fachdidaktik
835,BB1_SH1,0.7913961063219549,BB,SH,Fachdidaktik
840,BB1_SH1,0.7821523019219774,BB,SH,Fachdidaktik
841,BB1_SH1,0.8152125898558704,BB,SH,Fachdidaktik
847,BB1_SH1,0.7839941241688682,BB,SH,Fachdidaktik
849,BB1_SH1,0.80205528863475,BB,SH,Fachdidaktik
856,BB1_SH1,0.8287042881111145,BB,SH,Fachdidaktik
860,BB1_SH1,0.8166672959971916,BB,SH,Fachdidaktik
861,BB1_SH1,0.7805004892654875,BB,SH,Fachdidaktik
863,BB1_SH1,0.7887237053530688,BB,SH,Fachdidaktik
869,BB1_SH1,0.8199839091381027,BB,SH,Fachdidaktik
871,BB1_SH1,0.8036670587524148,BB,SH,Fachdidaktik
872,BB1_SH1,0.8033235076618812,BB,SH,Fachdidaktik
881,BB1_SH1,0.7963259162068163,BB,SH,Fachdidaktik
888,BB1_SH1,0.8061795575898765,BB,SH,Fachdidaktik
889,BB1_SH1,0.8048275167730571,BB,SH,Fachdidaktik
894,BB1_SH1,0.8075339541193449,BB,SH,Fachdidaktik
895,BB1_SH1,0.7998521814984636,BB,SH,Fachdidaktik
896,BB1_SH1,0.8392835525960763,BB,SH,Fachdidaktik
900,BB1_SH1,0.7781619666009406,BB,SH,Fachdidaktik
902,BB1_SH1,0.8040746403021894,BB,SH,Fachdidaktik
916,BB1_SH1,0.7937960327913077,BB,SH,Fachdidaktik
917,BB1_SH1,0.7913451356681314,BB,SH,Fachdidaktik
918,BB1_SH1,0.7747544480997492,BB,SH,Fachdidaktik
920,BB1_SH1,0.8485459431257124,BB,SH,Fachdidaktik
921,BB1_SH1,0.7872195217659942,BB,SH,Fachdidaktik
922,BB1_SH1,0.8011873744629495,BB,SH,Fachdidaktik
924,BB1_SH1,0.8356274290942105,BB,SH,Fachdidaktik
925,BB1_SH1,0.7739777622727047,BB,SH,Fachdidaktik
926,BB1_SH1,0.786972396461342,BB,SH,Fachdidaktik
929,BB1_SH1,0.7927460567533695,BB,SH,Fachdidaktik
932,BB1_SH1,0.7539161740726842,BB,SH,Fachdidaktik
933,BB1_SH1,0.7861277206865921,BB,SH,Fachdidaktik
934,BB1_SH1,0.8041404312031349,BB,SH,Fachdidaktik
936,BB1_SH1,0.8347895832376208,BB,SH,Fachdidaktik
938,BB1_SH1,0.8065020838503473,BB,SH,Fachdidaktik
939,BB1_SH1,0.8150806954552349,BB,SH,Fachdidaktik
940,BB1_SH1,0.8145956115678307,BB,SH,Fachdidaktik
941,BB1_SH1,0.7839932230906012,BB,SH,Fachdidaktik
943,BB1_SH1,0.7900056503048707,BB,SH,Fachdidaktik
944,BB1_SH1,0.7931823890496413,BB,SH,Fachdidaktik
945,BB1_SH1,0.8052808152896538,BB,SH,Fachdidaktik
946,BB1_SH1,0.8141367946557027,BB,SH,Fachdidaktik
947,BB1_SH1,0.8241944523274591,BB,SH,Fachdidaktik
948,BB1_SH1,0.8155169871717132,BB,SH,Fachdidaktik
949,BB1_SH1,0.7770986317360852,BB,SH,Fachdidaktik
