PID,item,similarity,apriori_faktor,aposteriori_faktor
1621,BB1_SH1,0.5962853435162604,BB,SH
1624,BB1_SH1,0.5429960318175423,BB,SH
1625,BB1_SH1,0.49980084454736173,BB,SH
1626,BB1_SH1,0.49245693781648975,BB,SH
1627,BB1_SH1,0.5986314522483337,BB,SH
1632,BB1_SH1,0.4851597272582302,BB,SH
1633,BB1_SH1,0.3379972235793821,BB,SH
1635,BB1_SH1,0.6270054513962003,BB,SH
1639,BB1_SH1,0.42129416899713534,BB,SH
1640,BB1_SH1,0.556681459749837,BB,SH
1642,BB1_SH1,0.6371408107029826,BB,SH
1643,BB1_SH1,0.5121306872891769,BB,SH
1644,BB1_SH1,0.4360510563629629,BB,SH
1645,BB1_SH1,0.5377696194380419,BB,SH
1649,BB1_SH1,0.6198132702130517,BB,SH
1650,BB1_SH1,0.5295959097954643,BB,SH
1651,BB1_SH1,0.4579278153845478,BB,SH
1652,BB1_SH1,0.515332312509764,BB,SH
1657,BB1_SH1,0.4333374186200246,BB,SH
1659,BB1_SH1,0.3395022946895273,BB,SH
1660,BB1_SH1,0.39775907790149867,BB,SH
1661,BB1_SH1,0.5799054445627743,BB,SH
1663,BB1_SH1,0.5398374340383622,BB,SH
1664,BB1_SH1,0.45419935176707776,BB,SH
1666,BB1_SH1,0.4929438247999215,BB,SH
1667,BB1_SH1,0.45867487417690644,BB,SH
1670,BB1_SH1,0.44006565760048244,BB,SH
1671,BB1_SH1,0.6194992234626632,BB,SH
1672,BB1_SH1,0.2992078667519963,BB,SH
1675,BB1_SH1,0.470403494890523,BB,SH
1676,BB1_SH1,0.46183935519180164,BB,SH
1677,BB1_SH1,0.4831509607700318,BB,SH
1680,BB1_SH1,0.525814642305035,BB,SH
1683,BB1_SH1,0.47776673660902935,BB,SH
1685,BB1_SH1,0.42467792971316015,BB,SH
1686,BB1_SH1,0.4957872836212221,BB,SH
1687,BB1_SH1,0.48444191225769334,BB,SH
1688,BB1_SH1,0.48520036784996845,BB,SH
1691,BB1_SH1,0.38588017563457633,BB,SH
1693,BB1_SH1,0.5848948242035101,BB,SH
1694,BB1_SH1,0.49599497528872694,BB,SH
1697,BB1_SH1,0.5312749021130037,BB,SH
1699,BB1_SH1,0.5817835997002092,BB,SH
1702,BB1_SH1,0.6187093917343421,BB,SH
1704,BB1_SH1,0.5018449943294668,BB,SH
1705,BB1_SH1,0.44042804743548963,BB,SH
1706,BB1_SH1,0.5702301687115338,BB,SH
1712,BB1_SH1,0.6068758503508466,BB,SH
1713,BB1_SH1,0.5298492916333556,BB,SH
1717,BB1_SH1,0.4566661098964619,BB,SH
1718,BB1_SH1,0.4769936790562511,BB,SH
1720,BB1_SH1,0.5322468116326716,BB,SH
1721,BB1_SH1,0.5411742041126049,BB,SH
1723,BB1_SH1,0.42632480522543814,BB,SH
1724,BB1_SH1,0.5980272266718509,BB,SH
1729,BB1_SH1,0.36449362849027844,BB,SH
1731,BB1_SH1,0.5171800878347619,BB,SH
1733,BB1_SH1,0.2645508884140063,BB,SH
1734,BB1_SH1,0.42392661709709245,BB,SH
1736,BB1_SH1,0.14472061996196928,BB,SH
1741,BB1_SH1,0.5578645259169129,BB,SH
1742,BB1_SH1,0.5999754645207152,BB,SH
1743,BB1_SH1,0.5665352932882137,BB,SH
1747,BB1_SH1,0.47118684212052525,BB,SH
1751,BB1_SH1,0.5004608329950244,BB,SH
1753,BB1_SH1,0.46439694976862317,BB,SH
1754,BB1_SH1,0.5348420630467133,BB,SH
1759,BB1_SH1,0.4285295380708714,BB,SH
1760,BB1_SH1,0.6197430853692821,BB,SH
1762,BB1_SH1,0.5763940036541961,BB,SH
1763,BB1_SH1,0.5870381150016246,BB,SH
1764,BB1_SH1,0.5881584860049353,BB,SH
1767,BB1_SH1,0.5274979581753794,BB,SH
1768,BB1_SH1,0.45428794950653467,BB,SH
1769,BB1_SH1,0.4445160403956375,BB,SH
1770,BB1_SH1,0.41366050990243725,BB,SH
1771,BB1_SH1,0.4978222143196559,BB,SH
1772,BB1_SH1,0.4194796315185361,BB,SH
1774,BB1_SH1,0.5180159732446239,BB,SH
1775,BB1_SH1,0.5446104544387868,BB,SH
1776,BB1_SH1,0.3875616420548384,BB,SH
1777,BB1_SH1,0.6851641126474961,BB,SH
1781,BB1_SH1,0.5676524287471938,BB,SH
1785,BB1_SH1,0.44770608483463054,BB,SH
1786,BB1_SH1,0.5310923808199751,BB,SH
1789,BB1_SH1,0.5448673033066442,BB,SH
1791,BB1_SH1,0.6011337406911172,BB,SH
1793,BB1_SH1,0.5334779482035024,BB,SH
1795,BB1_SH1,0.45388702030931805,BB,SH
1800,BB1_SH1,0.3695697505906601,BB,SH
1803,BB1_SH1,0.5606539157898628,BB,SH
1811,BB1_SH1,0.616377401906863,BB,SH
1812,BB1_SH1,0.6174260431957194,BB,SH
1813,BB1_SH1,0.5362860752594035,BB,SH
1819,BB1_SH1,0.5360258779742064,BB,SH
1821,BB1_SH1,0.6038577744822279,BB,SH
1822,BB1_SH1,0.379042028317625,BB,SH
1826,BB1_SH1,0.5316336372546516,BB,SH
1829,BB1_SH1,0.5356777816571586,BB,SH
1830,BB1_SH1,0.47945116402724836,BB,SH
1831,BB1_SH1,0.4876526963848811,BB,SH
1832,BB1_SH1,0.4871987689833449,BB,SH
1833,BB1_SH1,0.5261336939457264,BB,SH
1835,BB1_SH1,0.5448018059456604,BB,SH
1838,BB1_SH1,0.6380974543281132,BB,SH
1839,BB1_SH1,0.505432877763133,BB,SH
1843,BB1_SH1,0.5983869906329207,BB,SH
1847,BB1_SH1,0.45024317355316623,BB,SH
1849,BB1_SH1,0.4705649005263519,BB,SH
1850,BB1_SH1,0.6218348419976147,BB,SH
1854,BB1_SH1,0.5282741566406676,BB,SH
1855,BB1_SH1,0.3540884900993475,BB,SH
